Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1114,Pragmata,PS5,2021,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1115,Pragmata,XS,2021,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1116,Project Resistance,PC,2020,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1117,Project Resistance,PS4,2020,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1118,Project Resistance,XOne,2020,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1119,Prototype,All,2009,Action-Adventure,Activision  ,Radical Entertainment  ,,,,,,,
1120,Pumpkin Jack,NS,2020,Action-Adventure,Headup Games  ,Headup Games  ,,,,,,,
1121,Quantum Error,PS4,2021,Action-Adventure,TeamKill Media  ,TeamKill Media  ,,,,,,,
1122,Quantum Error,PS5,2021,Action-Adventure,TeamKill Media  ,TeamKill Media  ,,,,,,,
1123,RAD,PC,2019,Action-Adventure,Bandai Namco Entertainment  ,Double Fine Productions  ,,,,,,,
1124,RAD,XOne,2019,Action-Adventure,Bandai Namco Entertainment  ,Double Fine Productions  ,,,,,,,
1125,RAD,NS,2019,Action-Adventure,Bandai Namco Entertainment  ,Double Fine Productions  ,,,,,,,
1126,RAD,PS4,2019,Action-Adventure,Bandai Namco Entertainment  ,Double Fine Productions  ,,,,,,,
1127,Rebel Galaxy Outlaw,PC,2019,Action-Adventure,Double Damage Games  ,Double Damage Games  ,,,,,,,
1128,Recompile,PC,N/A,Action-Adventure,Unknown  ,Phigames  ,,,,,,,
1129,Recompile,PS5,N/A,Action-Adventure,Unknown  ,Phigames  ,,,,,,,
1130,Recompile,XS,N/A,Action-Adventure,Unknown  ,Phigames  ,,,,,,,
1131,ReCore: Definitive Edition,PC,2018,Action-Adventure,Microsoft Studios  ,Armature Studio  ,,,,,,,
1132,ReCore: Definitive Edition,XOne,2017,Action-Adventure,Microsoft Studios  ,Armature Studio  ,,,,,,,
1133,Red Dead Redemption 2,PC,2019,Action-Adventure,Rockstar Games  ,Rockstar Games  ,,,,,,,
1134,Regina & Mac,WiiU,2020,Action-Adventure,Diplodocus Games  ,Diplodocus Games  ,,,,,,,
1135,Remothered: Tormented Fathers,NS,2019,Action-Adventure,Soedesco  ,Stormind Games  ,,,,,,,
1136,Resident Evil,NS,2019,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1137,Resident Evil,PS4,2015,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1138,Resident Evil,XOne,2015,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1139,Resident Evil 2,PS4,2019,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1140,Resident Evil 2,XOne,2019,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1141,Resident Evil 2,PC,2019,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1142,Resident Evil 3,XOne,2020,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1143,Resident Evil 3,PC,2020,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1144,Resident Evil 3,PS4,2020,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1145,Resident Evil 4,NS,2019,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1146,Resident Evil 8: Village,PS4,2021,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1147,Resident Evil 8: Village,PS5,2021,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1148,Resident Evil 8: Village,PC,2021,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1149,Resident Evil 8: Village,XOne,N/A,Action-Adventure,Unknown  ,Capcom  ,,,,,,,
1150,Resident Evil 8: Village,XS,2021,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1151,Resident Evil Zero,PS4,2016,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1152,Resident Evil Zero,NS,2019,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1153,Resident Evil Zero,XOne,2016,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1154,Resident Evil: Origins Collection,NS,2019,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
1155,Resolutiion,PC,N/A,Action-Adventure,Unknown  ,Monolith of Minds  ,,,,,,,
1156,Resolutiion,NS,N/A,Action-Adventure,Unknown  ,Monolith of Minds  ,,,,,,,
1157,Risk of Rain,PS4,2017,Action-Adventure,Chucklefish  ,Hopoo Games  ,,,,,,,
1158,Rust,PS4,2020,Action-Adventure,Facepunch Studios  ,Facepunch Studios  ,,,,,,,
1159,Rust,XOne,2020,Action-Adventure,Facepunch Studios  ,Facepunch Studios  ,,,,,,,
1160,Rust,Linux,2018,Action-Adventure,Facepunch Studios  ,Facepunch Studios  ,,,,,,,
1161,S.T.A.L.K.E.R. 2,XS,2021,Action-Adventure,GSC Game World  ,GSC Game World  ,,,,,,,
1162,S.T.A.L.K.E.R. 2: Heart of Chernobyl,XS,N/A,Action-Adventure,Unknown  ,GSC Game World  ,,,,,,,
1163,S.T.A.L.K.E.R. 2: Heart of Chernobyl,PC,N/A,Action-Adventure,Unknown  ,GSC Game World  ,,,,,,,
1164,Saints Row (2022),PC,N/A,Action-Adventure,Unknown  ,Volition  ,,,,,,,
1165,Saints Row (2022),PS4,N/A,Action-Adventure,Unknown  ,Volition  ,,,,,,,
1166,Saints Row (2022),PS5,N/A,Action-Adventure,Unknown  ,Volition  ,,,,,,,
1167,Saints Row (2022),XOne,N/A,Action-Adventure,Unknown  ,Volition  ,,,,,,,
1168,Saints Row (2022),XS,N/A,Action-Adventure,Unknown  ,Volition  ,,,,,,,
1169,Sakuna: Of Rice and Ruin,NS,2020,Action-Adventure,Xseed Games  ,Edelweiss  ,,,,,,,
1170,Salt and Sacrifice,PS5,N/A,Action-Adventure,Unknown  ,Ska Studios  ,,,,,,,
1171,Salt and Sacrifice,PC,N/A,Action-Adventure,Unknown  ,Ska Studios  ,,,,,,,
1172,Salt and Sacrifice,PS4,N/A,Action-Adventure,Unknown  ,Ska Studios  ,,,,,,,
1173,Samantha Swift and the Fountains of Fate,PC,2011,Action-Adventure,Mumbo Jumbo  ,Mumbo Jumbo  ,,,,,,,
1174,Samantha Swift and the Mystery from Atlantis,PC,N/A,Action-Adventure,Unknown  ,Mumbo Jumbo  ,,,,,,,
1175,Samurai Jack: Battle Through Time,NS,2020,Action-Adventure,Adult Swim  ,Soleil Software Studio Inc.  ,,,,,,,
1176,Samurai Jack: Battle Through Time,PC,2020,Action-Adventure,Adult Swim  ,Soleil Software Studio Inc.  ,,,,,,,
