Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
50,Final Fantasy XIV Online Complete Edition,PC,2017,MMO,Square Enix  ,Square Enix  ,,,,0.01,,0.0,0.01
51,Angel Love Online,PSN,2008,MMO,Q Entertainment  ,UserJoy Technology  ,,,,,,,
52,Angel Love Online,PS3,2011,MMO,Q Entertainment  ,UserJoy Technology  ,,,,,,,
53,DC Universe Online,PSN,2011,MMO,Sony Online Entertainment  ,WBIE  ,6.7,,,,,,
54,DC Universe Online,PS4,2013,MMO,Sony Online Entertainment  ,Sony Online Entertainment  ,,,,,,,
55,Dragon Quest X,PC,2013,MMO,Square Enix  ,Square Enix  ,,,,,,,
56,Dragon Quest X: Inishie no Ryuu no Denshou Online,WiiU,2015,MMO,Square Enix  ,Square Enix  ,,,,,,,
57,Dragon's Prophet,PC,2018,MMO,Sony Online Entertainment  ,Runewalker Entertainment Ltd.  ,,,,,,,
58,EverQuest Next,PC,2016,MMO,Sony Online Entertainment  ,Sony Online Entertainment  ,,,,,,,
59,EverQuest Next,PS4,2016,MMO,Sony Online Entertainment  ,Sony Online Entertainment  ,,,,,,,
60,Realm of the Mad God,OSX,2012,MMO,Kabam  ,Wild Shadow Studios  ,,,,,,,
61,Realm of the Mad God,PC,2011,MMO,Miniclip SA  ,Wild Shadow Studios  ,,,,,,,
62,Realm of the Mad God,PC,2012,MMO,Kabam  ,Wild Shadow Studios  ,,,,,,,
63,The Elder Scrolls Online,OSX,2014,MMO,Bethesda Softworks  ,Bethesda Game Studios  ,,,,,,,
64,World of Warcraft: Warlords of Draenor,OSX,2014,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,
65,Aberoth,PC,2015,MMO,Jarbit  ,Jarbit  ,,,,,,,
66,Arena Of Valor,NS,N/A,MMO,Unknown  ,TiMi Studios  ,,,,,,,
67,ATLAS,PC,2018,MMO,Studio Wildcard  ,Studio Wildcard  ,,,,,,,
68,ATLAS,XOne,2019,MMO,Studio Wildcard  ,Studio Wildcard  ,,,,,,,
