Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
166,EA Sports UFC,PS4,2014,Fighting,Electronic Arts  ,EA Canada  ,,,0.49,0.43,0.01,0.18,1.11
167,Naruto Shippuden: Ultimate Ninja Storm 2,All,2010,Fighting,Namco Bandai Games  ,CyberConnect2  ,,,,,,,
168,WWE SmackDown vs. Raw 2011,PS3,2010,Fighting,THQ  ,JAKKS Pacific  ,,,0.44,0.46,0.01,0.18,1.09
169,Virtua Fighter 5,PS3,2007,Fighting,Sega  ,Sega-AM2  ,8.7,,0.29,0.52,0.08,0.2,1.08
170,Dragon Ball Z: Taiketsu,GBA,2003,Fighting,Atari  ,Webfoot Technologies  ,3.8,,0.77,0.29,,0.02,1.08
171,Marvel vs. Capcom 3: Fate of Two Worlds,X360,2011,Fighting,Capcom  ,Capcom  ,8.4,,0.79,0.18,0.03,0.08,1.07
172,Virtua Fighter,SAT,1995,Fighting,Sega  ,Sega-AM2  ,9.0,,0.17,0.12,0.77,0.02,1.07
173,WWE SmackDown vs. Raw 2010,PS2,2009,Fighting,THQ  ,JAKKS Pacific  ,,,0.53,0.01,,0.54,1.07
174,Naruto: Ultimate Ninja Storm,PS3,2008,Fighting,Namco Bandai  ,CyberConnect2  ,7.8,,0.49,0.34,0.09,0.15,1.07
175,Mortal Kombat: Armageddon,PS2,2006,Fighting,Midway Games  ,Midway Games  ,7.4,,0.88,0.04,,0.14,1.06
176,UFC Undisputed 3,PS3,2012,Fighting,THQ  ,Yukie's Osaka  ,,,0.55,0.33,0.03,0.14,1.05
177,Tag Team Match M.U.S.C.L.E.,NES,1986,Fighting,Bandai  ,Bandai  ,,,,,1.05,0.0,1.05
178,WWE SmackDown vs. Raw 2010,X360,2009,Fighting,THQ  ,JAKKS Pacific  ,8.2,,0.56,0.37,0.01,0.1,1.04
179,Naruto: Clash of Ninja 2,GC,2006,Fighting,D3 Publisher  ,8ing/Raizing  ,7.4,,0.44,0.12,0.45,0.03,1.04
180,Dragon Ball: Xenoverse,PS3,2015,Fighting,Namco Bandai Games  ,Dimps Corporation  ,,,0.18,0.13,0.15,0.06,0.52
181,Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,Fighting,Atari  ,Spike / Bandai Namco Games  ,7.5,8.6,0.32,0.36,0.26,0.08,1.03
182,SoulCalibur V,PS3,2012,Fighting,Namco Bandai  ,Project Soul  ,,,0.35,0.24,0.07,0.09,0.76
