Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
73,Conga Master Party!,NS,2017,Party,Undercoders  ,Rising Star Games  ,,,,,,,
74,Death Squared,NS,2017,Party,SMG Studio  ,SMG Studio  ,,,,,,,
75,Disney Tsum Tsum Festival,NS,2019,Party,Bandai Namco Entertainment  ,Bandai Namco  ,,,,,,,
76,Every Party,X360,2005,Party,Microsoft Game Studios  ,Game Republic  ,,,,,,,
77,Fall Guys: Ultimate Knockout,XS,N/A,Party,Unknown  ,Mediatonic  ,,,,,,,
78,Fall Guys: Ultimate Knockout,XOne,N/A,Party,Unknown  ,Mediatonic  ,,,,,,,
79,Fall Guys: Ultimate Knockout,PS4,2020,Party,Devolver Digital  ,Mediatonic  ,,,,,,,
80,Fall Guys: Ultimate Knockout,NS,N/A,Party,Unknown  ,Mediatonic Ltd.  ,,,,,,,
81,Fall Guys: Ultimate Knockout,All,2020,Party,Devolver Digital  ,Mediatonic  ,,,,,,,
82,Frantics,PS4,2018,Party,Sony Interactive Entertainment  ,NapNok Games  ,,,,,,,
83,Game Party,Series,2007,Party,Midway Games  ,FarSight Studios  ,,,,,,,
84,Guilt Battle Arena,NS,2018,Party,ForwardXP  ,Invincible Cat  ,,,,,,,
85,INVERSUS Deluxe,NS,2017,Party,Hypersect  ,Hypersect  ,,,,,,,
86,Jeopardy!,WiiU,2012,Party,THQ  ,Pipeworks Software  ,,,,,,,
87,Knowledge is Power: Decades,PS4,2018,Party,Sony Interactive Entertainment  ,Wish Studio  ,,,,,,,
88,Lovers in a Dangerous Spacetime,NS,2017,Party,Asteroid Base  ,Asteroid Base  ,,,,,,,
89,Mario Party 2,WiiU,N/A,Party,Unknown  ,Nintendo  ,,,,,,,
90,Mario Party Superstars,NS,N/A,Party,Unknown  ,Nintendo  ,,,,,,,
91,Marooners,PC,2016,Party,M2H  ,M2H  ,,,,,,,
92,Marooners,XOne,2018,Party,M2H  ,M2H  ,,,,,,,
93,Marooners,PS4,2018,Party,M2H  ,M2H  ,,,,,,,
94,Marooners,NS,N/A,Party,Unknown  ,M2H  ,,,,,,,
95,Moon Hunters,NS,2017,Party,Kitfox Games  ,Kitfox Games  ,,,,,,,
96,Overcooked! All You Can Eat,XS,2020,Party,Team17  ,Ghost Town Games  ,,,,,,,
97,Overcooked! All You Can Eat,PS5,2020,Party,Team17  ,Ghost Town Games  ,,,,,,,
