Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
2146,Kirby 64: The Crystal Shards,VC,2008,Platform,Nintendo  ,HAL Laboratory  ,7.5,,,,,,
2147,Kirby Super Star,VC,2010,Platform,Nintendo  ,HAL Laboratory  ,,,,,,,
2148,Kirby's Dream Land,3DS,2011,Platform,Nintendo  ,HAL Laboratory  ,,,,,,,
2149,Kirby's Dream Land,3DS,2011,Platform,Nintendo  ,Nintendo  ,,,,,,,
2150,Kirby's Dream Land 3,VC,2009,Platform,Nintendo  ,HAL Laboratory  ,,,,,,,
2151,Kiwi Kraze: A Bird-Brained Adventure!,NES,1991,Platform,Taito  ,Software Creations  ,,,,,,,
2152,Klonoa: Door to Phantomile,PSN,2011,Platform,Namco Bandai  ,Namco  ,,,,,,,
2153,Knuckles Chaotix,GEN,1995,Platform,Sega  ,Sega  ,,,,,,,
2154,Kodama,WinP,2014,Platform,Unknown  ,Unknown  ,,,,,,,
2155,Konami Wai Wai World,NES,1988,Platform,Konami  ,Konami  ,,,,,,,
2156,Kung Fu Kid,MS,1987,Platform,Sega  ,Sega  ,,,,,,,
2157,Kung Fu Panda,XBL,2010,Platform,Activision  ,Luxoflux  ,,,,,,,
2158,La-Mulana,WW,N/A,Platform,Unknown  ,"Asterizm Co., Ltd  ",,,,,,,
2159,La-Mulana 2,PC,2018,Platform,AGM Playism  ,Nigoro  ,,,,,,,
2160,Land of Illusion starring Mickey Mouse,MS,1992,Platform,Sega  ,Sega  ,,,,,,,
2161,Landit Bandit,PSN,2010,Platform,Unknown  ,The Bearded Ladies  ,,,,,,,
2162,Lanfeust of Troy,DS,2007,Platform,Atari  ,Visual Impact  ,,,,,,,
2163,Lanfeust of Troy,PSP,2008,Platform,Atari  ,Tate Interactive  ,,,,,,,
2164,Legend of Hero Tonma,PCE,1993,Platform,NEC  ,Irem Software Engineering  ,,,,,,,
2165,Legend of Hero Tonma,VC,2007,Platform,Irem Software Engineering  ,Irem Software Engineering  ,,,,,,,
2166,Legend of Illusion starring Mickey Mouse,GG,1995,Platform,Sega  ,Aspect  ,,,,,,,
2167,Legend of Illusion starring Mickey Mouse,MS,1994,Platform,Tec Toy  ,Aspect  ,,,,,,,
2168,LEGO Bionicle Double Pack,PC,2006,Platform,Focus Home Interactive  ,Argonaut Games / Asylum Entertainment  ,,,,,,,
2169,Lemony Snicket's A Series of Unfortunate Events,PC,2004,Platform,Activision  ,KnowWonder Digital Mediaworks  ,,,,,,,
2170,Lester the Unlikely,SNES,1994,Platform,DTMC  ,Visual Concepts  ,,,,,,,
2171,Lethal Weapon,SNES,1992,Platform,Ocean  ,Ocean  ,,,,,,,
2172,Lilly Adventure,2600,1983,Platform,Unknown  ,Quelle  ,,,,,,,
2173,LIMBO,PSN,2011,Platform,Unknown  ,Playdead  ,9.0,,,,,,
2174,LIMBO,Linux,2014,Platform,Playdead  ,Playdead  ,,,,,,,
2175,LIMBO,XOne,2014,Platform,Playdead  ,Playdead  ,,,,,,,
2176,LIMBO,XBL,2011,Platform,Microsoft Game Studios  ,Playdead  ,9.0,,,,,,
2177,Little Nemo the Dream Master,NES,1990,Platform,Capcom  ,Capcom  ,,,,,,,
2178,Little Samson,NES,1992,Platform,Taito  ,Takeru  ,,,,,,,
2179,LittleBigPlanet,PSN,2011,Platform,Sony Computer Entertainment  ,Media Molecule  ,8.6,,,,,,
2180,LittleBigPlanet (PSP),PSN,2009,Platform,Sony Music Entertainment  ,SCEE Cambridge  ,8.7,,,,,,
2181,LittleBigPlanet 2: Special Edition,PS3,2011,Platform,Sony Computer Entertainment  ,Media Molecule  ,,,,,,,
2182,LocoRoco,PSN,2008,Platform,Sony Computer Entertainment  ,SCE Japan Studio  ,8.1,,,,,,
2183,LocoRoco 2,PSN,2009,Platform,Sony Computer Entertainment  ,SCE Japan Studio  ,8.6,,,,,,
2184,LocoRoco Cocoreccho!,PSN,2007,Platform,Sony Computer Entertainment  ,SCE Japan Studio  ,,,,,,,
2185,LocoRoco Midnight Carnival,PSN,2009,Platform,Sony Computer Entertainment  ,SCE Japan Studio  ,7.1,,,,,,
2186,Lode Runner for WonderSwan,WS,2000,Platform,Banpresto  ,Banpresto  ,,,,,,,
2187,LogiGun,PC,2012,Platform,Unknown  ,Unknown  ,,,,,,,
2188,Lomax,PC,1997,Platform,Psygnosis  ,Psygnosis  ,,,,,,,
2189,Looney Tunes,GB,1992,Platform,Sunsoft  ,SunSoft  ,,,,,,,
2190,Looney Tunes: Carrot Crazy,GB,1999,Platform,Infogrames  ,Velez & Dubail  ,,,,,,,
2191,Looney Tunes: Taz Express,N64,2000,Platform,Infogrames  ,Zed Two Limited  ,,,,,,,
2192,Looney Tunes: Twouble!,GB,1999,Platform,Infogrames  ,Bit Managers  ,,,,,,,
2193,LostWinds,WW,2008,Platform,Frontier Developments  ,Frontier Developments  ,8.2,,,,,,
2194,LostWinds: Winter of the Melodias,WW,2009,Platform,Frontier Developments  ,Frontier Developments  ,8.6,,,,,,
2195,Low G Man: The Low Gravity Man,NES,1990,Platform,Taxan  ,Taxan  ,,,,,,,
2196,Luc Bernard's Eternity's Child,WW,N/A,Platform,Unknown  ,Alten8  ,,,,,,,
2197,Luc Bernard's Eternity's Child,DS,N/A,Platform,Unknown  ,Alten8  ,,,,,,,
2198,Lucidity,PC,2009,Platform,LucasArts  ,LucasArts  ,7.0,,,,,,
2199,Lucidity,XBL,2009,Platform,LucasArts  ,LucasArts  ,7.0,,,,,,
2200,Lucky Luke,SNES,1997,Platform,Infogrames  ,Infogrames  ,,,,,,,
2201,Lucky Luke,GB,1996,Platform,Infogrames  ,Infogrames  ,,,,,,,
2202,Lucky Luke (GBC),GB,1999,Platform,Infogrames  ,Infogrames  ,,,,,,,
2203,Lucky Luke: Desperado Train,GB,2000,Platform,Infogrames  ,Infogrames  ,,,,,,,
2204,Lumi,XBL,2010,Platform,Microsoft  ,Kydos Studios  ,,,,,,,
2205,M & M's Mini Madness,GB,2000,Platform,Majesco  ,Pipe Dream Interactive  ,,,,,,,
2206,M.C. Kids,NES,1992,Platform,Virgin Interactive  ,Virgin Interactive  ,,,,,,,
2207,Machiavelli's Ascent,XBL,2008,Platform,Microsoft  ,Naturally Formed Studios  ,,,,,,,
2208,Magic Boy,PC,1993,Platform,Empire Interactive  ,Blue Turtle  ,,,,,,,
2209,Magic Boy,SNES,1996,Platform,JVC  ,Empire Interactive  ,,,,,,,
2210,Magic Sword,SNES,1993,Platform,Capcom  ,Capcom  ,,,,,,,
2211,Magical Whip: Wizards of Phantasmal Forest,DSiW,2010,Platform,SilverStar  ,SilverStarJapan  ,,,,,,,
2212,Makai Prince Dorabocchan,PCE,1990,Platform,Naxat Soft  ,Naxat Soft  ,,,,,,,
2213,Makaimura for WonderSwan,WS,1999,Platform,Bandai  ,Capcom  ,,,,,,,
2214,Man Overboard!,GEN,1994,Platform,Codemasters  ,Zeppelin Games  ,,,,,,,
2215,Manic Miner,GBA,2002,Platform,Jester Interactive  ,Jester Interactive  ,,,,,,,
2216,Mappy,GG,1991,Platform,Namco  ,Namco  ,,,,,,,
2217,Mappy,VC,2008,Platform,Namco Bandai  ,Namco  ,,,,,,,
2218,Mappy (Arcade),VC,2009,Platform,Namco Bandai  ,Namco  ,,,,,,,
2219,Mappy Kids,NES,1989,Platform,Namco  ,Namco  ,,,,,,,
2220,Mappy-Land,NES,1989,Platform,Taxan  ,Namco  ,,,,,,,
2221,Mario Bros.,VC,2006,Platform,Nintendo  ,Nintendo R&D1  ,,,,,,,
2222,Mario Bros.,5200,1983,Platform,Atari  ,Atari  ,,,,,,,
2223,Mario Bros.,7800,1987,Platform,Atari  ,Atari  ,,,,,,,
2224,Mario Clash,VB,1995,Platform,Nintendo  ,Nintendo R&D1  ,,,,,,,
2225,Marko,GG,1993,Platform,Domark Software  ,Domark Software  ,,,,,,,
2226,Marko,SCD,2004,Platform,Good Night Brave Warrior  ,Good Deal Games  ,,,,,,,
2227,Marko's Magic Football,SNES,1995,Platform,Acclaim Entertainment  ,The Kremlin  ,,,,,,,
2228,Marsupilami,GEN,1995,Platform,Sega  ,Sega  ,,,,,,,
2229,Marvel Super Heroes: War of the Gems,SNES,1996,Platform,Capcom  ,Capcom  ,,,,,,,
2230,Mary-Kate and Ashley: Get a Clue!,GB,2000,Platform,Acclaim Entertainment  ,Crawfish Interactive  ,,,,,,,
2231,Master of Darkness,MS,1992,Platform,Sega  ,Sega  ,,,,,,,
2232,Maui Mallard in Cold Shadow,SNES,1996,Platform,Nintendo  ,Eurocom Entertainment Software  ,,,,,,,
2233,Maui Mallard in Cold Shadow,GB,1998,Platform,Sunsoft  ,Eurocom Entertainment Software  ,,,,,,,
2234,Maui Mallard in Cold Shadow,PC,1996,Platform,Disney Interactive Studios  ,Eurocom Entertainment Software  ,,,,,,,
2235,Max & the Magic Marker,WW,2010,Platform,Press Play  ,Press Play  ,7.0,,,,,,
2236,Max & the Magic Marker,PC,2010,Platform,Press Play  ,Press Play  ,,,,,,,
2237,Max & the Magic Marker: Gold Edition,PSN,2011,Platform,Pan Vision   ,Press Play  ,7.0,,,,,,
2238,Maximo: Ghosts to Glory,PSN,2011,Platform,Capcom  ,Capcom  ,,,,,,,
2239,Maya the Bee: Klatschmohnwiese in Gefahr,GBA,2006,Platform,Midway Games  ,Independent Arts Software GmbH  ,,,,,,,
2240,Maya the Bee: Klatschmohnwiese in Gefahr,DS,2006,Platform,Midway Games  ,Independent Arts Software GmbH  ,,,,,,,
2241,Maya The Bee: Sweet Gold,GBA,2005,Platform,Midway Games  ,Shin'en Multimedia  ,,,,,,,
2242,Maya The Bee: The Great Adventure,GBA,2002,Platform,Acclaim Entertainment  ,Shin'en Multimedia  ,,,,,,,
2243,Mega Man,GG,1995,Platform,U.S. Gold  ,Freestyle  ,,,,,,,
