Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
338,NieR: Automata,PC,2017,Role-Playing,Square Enix  ,PlatinumGames  ,,,,0.02,,0.0,0.02
339,Yu-Gi-Oh! The Sacred Cards (American and Others sales),GBA,2003,Role-Playing,Konami  ,Konami  ,,,0.84,0.27,,0.05,1.16
340,Deus Ex: Mankind Divided,PC,2016,Role-Playing,Square Enix  ,Eidos Montreal  ,,,,0.06,,0.0,0.07
341,The Elder Scrolls V: Skyrim,NS,2017,Role-Playing,Bethesda Softworks  ,Bethesda Softworks  ,8.6,9.1,0.67,0.32,0.06,0.1,1.15
342,Dragon Quest VIII: Journey of the Cursed King,3DS,2017,Role-Playing,Nintendo  ,Level 5 / Armor Project  ,8.8,,0.14,0.11,0.88,0.02,1.15
343,Brave Fencer Musashi,PS,1998,Role-Playing,Square  ,SquareSoft  ,8.4,,0.25,0.17,0.65,0.07,1.14
344,Final Fantasy XV,XOne,2016,Role-Playing,Square Enix  ,Square Enix  ,,,0.72,0.3,0.01,0.11,1.14
345,Tales of Destiny,PS,1998,Role-Playing,Namco  ,Wolfteam  ,6.2,,0.09,0.06,0.83,0.07,1.04
346,Final Fantasy VII,PC,1998,Role-Playing,Eidos Interactive  ,SquareSoft  ,8.4,,,0.0,,0.0,0.0
347,The Elder Scrolls V: Skyrim VR,PS4,2017,Role-Playing,Bethesda Softworks  ,Bethesda Softworks  ,,,0.47,0.47,0.01,0.19,1.13
348,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),GBA,2006,Role-Playing,Nintendo  ,ChunSoft  ,,,0.81,0.3,,0.02,1.13
349,Golden Sun: The Lost Age,GBA,2003,Role-Playing,Nintendo  ,Camelot Software Planning  ,8.3,,0.61,0.27,0.27,0.07,1.22
350,Dragon Age II,X360,2011,Role-Playing,Electronic Arts  ,BioWare Corp.  ,8.0,,0.72,0.29,0.01,0.09,1.12
351,Fantasy Life,3DS,2014,Role-Playing,Nintendo  ,Level 5/Brownie Brown  ,6.9,,0.28,0.38,0.37,0.06,1.09
352,Tales of Destiny 2,All,2002,Role-Playing,Sony Computer Entertainment  ,Telenet Japan / Wolfteam  ,,,,,,,
353,Chocobo no Fushigi Dungeon,PS,1997,Role-Playing,Square  ,SquareSoft  ,,,,,1.14,0.08,1.22
354,Chrono Trigger,DS,2008,Role-Playing,Square Enix  ,Square Enix  ,9.2,,0.61,0.17,0.49,0.08,1.34
