Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1767,Elite,ACPC,1986,Simulation,Firebird  ,Unknown  ,,,,,,,
1768,Elite,PC,1987,Simulation,Unknown  ,Frontier Developments  ,,,,,,,
1769,Elite: Dangerous,PC,2014,Simulation,Frontier Developments  ,Frontier Developments Inc.  ,,,,,,,
1770,Elite: Dangerous,OSX,2015,Simulation,Frontier Developments  ,Frontier Developments Inc.  ,,,,,,,
1771,Emergency 5,PC,2015,Simulation,Deep Silver  ,Sixteen Tons Entertainment  ,,,,,,,
1772,Emergency Call 112 - The Fire Fighting Simulation,PC,2016,Simulation,Aerosoft  ,Headup Games / Crenetic  ,,,,,,,
1773,Enemy Engaged Comanche Versus Hokum,PC,2000,Simulation,Empire Interactive  ,Razorworks  ,,,,,,,
1774,Enigma Rising Tide,PC,2003,Simulation,DreamCatcher Interactive  ,Tesseraction Games  ,,,,,,,
1775,Enigma: Rising Tide - Gold Edition,PC,2005,Simulation,DreamCatcher Interactive  ,Tesseraction Games  ,,,,,,,
1776,Enjoy your massage!,WW,2010,Simulation,Microforum  ,Microforum Ltd  ,,,,,,,
1777,Escape Velocity Nova,PC,2003,Simulation,Ambrosia  ,Ambrosia  ,,,,,,,
1778,European Air War,PC,1998,Simulation,Atari  ,Third Wave  ,,,,,,,
1779,Evochron,PC,2005,Simulation,Unknown  ,StarWraith  ,,,,,,,
1780,Evochron Alliance,PC,2005,Simulation,Unknown  ,StarWraith 3D Games  ,,,,,,,
1781,Evochron Legends,PC,2009,Simulation,Unknown  ,StarWraith 3D Games  ,,,,,,,
1782,Evochron Mercenary,PC,2010,Simulation,Unknown  ,StarWraith 3D Games  ,,,,,,,
1783,Evochron Renegades,PC,2007,Simulation,Unknown  ,StarWraith 3D Games  ,,,,,,,
1784,Extrasolar,PC,2014,Simulation,Lazy 8 Studios  ,Lazy 8 Studios  ,,,,,,,
