Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
260,Sayonara Wild Hearts,NS,2019,Music,Annapurna Interactive  ,Simogo  ,,,,,,,
261,Senran Kagura Bon Appetit!,PC,N/A,Music,Unknown  ,Meteorise  ,,,,,,,
262,SingStar,PS4,2014,Music,Sony Computer Entertainment  ,SCEE London Studio  ,,,,,,,
263,Space Channel 5 VR: Kinda Funky News Flash!,PS4,2020,Music,Sega  ,Grounding Inc.  ,,,,,,,
264,Space Channel 5 VR: Kinda Funky News Flash!,PC,2020,Music,Sega  ,Grounding Inc.  ,,,,,,,
265,Super Beat Sports,NS,2017,Music,Harmonix Music Systems  ,Harmonix Music Systems  ,,,,,,,
266,The Beatles: Rock Band,All,2009,Music,MTV Games  ,Harmonix Music Systems  ,,,,,,,
267,The Idolmaster: Starlit Season,PC,2020,Music,Bandai Namco Entertainment  ,Bandai Namco Games  ,,,,,,,
268,The Idolmaster: Starlit Season,PS4,2020,Music,Bandai Namco Entertainment  ,Bandai Namco Games  ,,,,,,,
269,Thumper,NS,2017,Music,Drool  ,Drool  ,9.0,9.3,,,,,
270,Track Lab,PS4,2018,Music,Sony Interactive Entertainment  ,Little Chicken Game Company  ,,,,,,,
