Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
135,Soukoku no Kusabi: Hiiro no Kakera 3 Ashita he no Tobira,PSP,2012,Visual+Novel,Idea Factory  ,Idea Factory  ,,,,,0.02,,0.02
136,Konoyo no Hate de Koi o Utau Shoujo: Yu-No,PS4,2017,Visual+Novel,5pb  ,MAGES  ,,,,,0.02,,0.02
137,Psycho-Pass: Mandatory Happiness,XOne,2015,Visual+Novel,5pb  ,5pb. Inc.  ,,,,,0.02,,0.02
138,Robotics;Notes,PSV,2014,Visual+Novel,5pb  ,5pb. Games  ,,,,,0.02,,0.02
139,Fuuraiki 3,PSV,2015,Visual+Novel,Nippon Ichi Software  ,Nippon Ichi Software  ,,,,,0.02,,0.02
140,Starry * Sky: After Summer Portable,PSP,2013,Visual+Novel,Asgard  ,honeybee  ,,,,,0.02,,0.02
141,XBlaze Lost: Memories,PSV,2015,Visual+Novel,Aksys Games  ,Arc System Works  ,,,0.01,,,0.0,0.02
142,Kimikare: New Semester,PSP,2012,Visual+Novel,Idea Factory  ,Idea Factory  ,,,,,0.02,,0.02
143,Chaos;Child,PS3,2015,Visual+Novel,5pb  ,5pb. Inc.  ,,,,,0.02,,0.02
144,"Hanayaka Kana, Ware ga Ichizoku: Tasogare Polarstar",PSP,2013,Visual+Novel,Idea Factory  ,Idea Factory  ,,,,,0.02,,0.02
145,Elkrone no Atelier: Dear for Otomate,PSP,2012,Visual+Novel,Idea Factory  ,Otomate  ,,,,,0.02,,0.02
146,Chaos;Child,PS4,2017,Visual+Novel,PQube  ,5pb. Inc.  ,,,,,0.02,,0.02
147,Memories Off: Yubikiri no Kikou,PSP,2011,Visual+Novel,5pb  ,5pb. Games  ,,,,,0.02,,0.02
148,L.G.S: Shinsetsu Houshinengi,PSP,2012,Visual+Novel,Idea Factory  ,Otomate  ,,,,,0.02,,0.02
149,Dunamis 15,X360,2011,Visual+Novel,5pb  ,5pb. Games  ,,,,,0.02,,0.02
150,Reine des Fleurs,PSV,2015,Visual+Novel,Idea Factory  ,Otomate  ,,,,,0.02,,0.02
151,Custom Drive,PSP,2012,Visual+Novel,D3Publisher  ,Vridge Inc.  ,,,,,0.02,,0.02
