Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
516,Yu Yu Hakusho: Tournament Tactics,GBA,2004,Strategy,Atari  ,Sensory Sweep  ,,,0.08,0.03,,0.0,0.11
517,Kousoku Card Battle: Card Hero,DS,2007,Strategy,Nintendo  ,Intelligent Systems  ,,,,,0.11,,0.11
518,SD Gundam G Generation Genesis,PS4,2016,Strategy,Namco Bandai Games  ,Bandai Namco  ,,,,,0.11,,0.11
519,The Settlers,DS,2007,Strategy,Ubisoft  ,Ubisoft Paris  ,,,0.1,0.0,,0.01,0.11
520,Army Men: RTS,PS2,2002,Strategy,3DO  ,Pandemic Studios  ,6.1,,0.05,0.04,,0.01,0.11
521,12 Labours of Hercules III: Girl Power,PC,2015,Strategy,Jetdogs Studios  ,Jetdogs Studios  ,,,,,,,
522,Worms Forts: Under Siege,PS2,2005,Strategy,Sega  ,Team17 Software  ,,,0.05,0.04,,0.01,0.11
523,Iron Brigade,PC,2012,Strategy,Double Fine Productions  ,Double Fine Productions  ,,,,,,,
524,Sword of the Stars II: Enhanced Edition,PC,2012,Strategy,Paradox Interactive   ,Kerberos Productions Inc.  ,,,,,,,
525,Dynasty Tactics 2,PS2,2003,Strategy,KOEI  ,Koei  ,,,0.05,0.04,,0.01,0.11
526,Langrisser IV,SAT,1997,Strategy,NCS  ,Career Soft  ,,,,,0.11,,0.11
527,Railroad Tycoon II,PS,2000,Strategy,Take-Two Interactive  ,Take-Two Interactive  ,6.6,,0.06,0.04,,0.01,0.11
528,Rome: Total War,PC,2004,Strategy,Activision  ,The Creative Assembly  ,9.0,,,0.09,,0.01,0.11
529,Carnage Heart,PS,1997,Strategy,Sony Computer Entertainment  ,ArtDink  ,7.1,,0.01,0.01,0.09,0.01,0.11
530,Digimon Digital Card Battle,PS,2001,Strategy,Bandai  ,Bandai  ,,,0.06,0.04,,0.01,0.11
531,Yuusha no Kuse ni Namaikida Or 3D,PSP,2010,Strategy,Sony Computer Entertainment  ,Acquire  ,,,,,0.11,,0.11
532,Stronghold Kingdoms,PC,2011,Strategy,DTP Entertainment  ,FireFly Studios  ,,,,0.1,,0.01,0.1
533,Battleplan: American Civil War,PC,2014,Strategy,Kiss  ,The Mustard Corporation  ,,,,,,,
534,Thrillville: Off the Rails,PSP,2007,Strategy,LucasArts  ,Frontier Developments  ,,,0.09,0.0,,0.01,0.1
535,Universe at War: Earth Assault,X360,2008,Strategy,Sega  ,Petroglyph Games  ,,,0.09,0.01,,0.01,0.1
536,Valhalla Hills,PC,2015,Strategy,Daedalic Entertainment  ,Funatics Software  ,,,,,,,
537,Vandal Hearts II,PS,1999,Strategy,Konami  ,Konami  ,7.2,,0.06,0.04,,0.01,0.1
538,Culdcept DS,DS,2008,Strategy,Sega  ,OmiyaSoft  ,,,,,0.1,,0.1
539,Weiss Schwarz Portable,PSP,2011,Strategy,Namco Bandai  ,Namco Bandai Games  ,,,,,0.1,,0.1
540,Age of Steel: Recharge,PC,2016,Strategy,Quaint Emerald  ,Quaint Emerald  ,,,,,,,
541,Dungeons & Dragons Tactics,PSP,2007,Strategy,Atari  ,Kuju Entertainment  ,5.2,,0.09,0.0,,0.01,0.1
542,iBomber Defense Pacific,PC,2012,Strategy,Cobra Mobile  ,Cobra Mobile  ,,,,,,,
543,Z,PC,1996,Strategy,Virgin Interactive  ,Bitmap Brothers  ,,,,,,,
544,Homeworld: Deserts of Kharak,PC,2016,Strategy,Gearbox Publishing  ,Blackbird Interactive  ,,,,,,,
545,Record of Agarest War Zero,X360,2011,Strategy,Aksys Games  ,Compile Heart  ,6.5,,0.09,,,0.01,0.1
546,Space Pirates And Zombies 2,PC,2017,Strategy,MinMax Games Ltd.  ,MinMax Games Ltd.  ,,,,,,,
547,Sudden Strike 4,PS4,2017,Strategy,Kalypso Media  ,Kite Games  ,,,0.05,0.03,0.01,0.02,0.1
548,Dora & Kai-Lan's Pet Shelter,DS,2011,Strategy,2K Play  ,Black Lantern Studios  ,,,0.08,0.01,,0.01,0.1
549,Blackguards 2,PC,2015,Strategy,Daedalic Entertainment  ,Daedalic Entertainment  ,,,,,,,
550,L'Aigle de Guerre,GBA,2001,Strategy,Nintendo  ,Genki  ,,,,,0.1,0.0,0.1
551,Black Moon Chronicles,PC,N/A,Strategy,Unknown  ,Cryo Interactive  ,,,,,,,
552,Celtic Kings: Rage of War,PC,2002,Strategy,Strategy First  ,Haemimont Games  ,,,,,,,
553,Deadlock: Planetary Conquest,All,1996,Strategy,Accolade  ,Accolade  ,,,,,,,
554,Galactic Civilizations,PC,2003,Strategy,Strategy First  ,Stardock  ,,,,,,,
555,Gary Grigsby's World at War,PC,N/A,Strategy,Unknown  ,2 by 3 Games  ,,,,,,,
556,Panzer General II,PC,1997,Strategy,SSI  ,"Strategic Simulations, Inc.  ",,,,,,,
557,Romance of the Three Kingdoms XIV: Diplomacy and Strategy Expansion Pack,All,2020,Strategy,Koei Tecmo  ,Koei Tecmo Games  ,,,,,,,
558,Sins of a Solar Empire: Rebellion,PC,2070,Strategy,Unknown  ,Ironclad Games  ,,,,,,,
559,Star Control 3,PC,1996,Strategy,Accolade  ,Legend Entertainment  ,,,,,,,
