Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
65,Devil Dice,PS,1998,Puzzle,THQ  ,Shift  ,,,0.05,0.03,1.1,0.08,1.26
66,Tetris 2,GB,1993,Puzzle,Nintendo  ,Nintendo  ,,,0.56,0.22,0.43,0.03,1.24
67,Kirby Tilt 'n' Tumble,GB,2001,Puzzle,Nintendo  ,HAL Laboratory  ,,,0.29,0.17,0.75,0.02,1.23
68,Intelligent Qube,PS,1997,Puzzle,Sony Computer Entertainment  ,Sony Computer Entertainment  ,7.4,,0.13,0.07,1.0,0.02,1.22
69,Pac-Man,NES,1993,Puzzle,Namco  ,Namco  ,,,0.27,0.08,0.85,0.02,1.22
70,Boom Blox,Wii,2008,Puzzle,Electronic Arts  ,EA Los Angeles  ,8.6,8.9,0.71,0.38,0.0,0.12,1.21
71,Qix,GB,1990,Puzzle,Nintendo  ,Taito Corporation  ,,,0.51,0.2,0.41,0.03,1.15
72,Puyo Puyo Sun Ketteiban,PS,1997,Puzzle,Compile  ,Compile  ,,,,,1.07,0.07,1.15
73,Yoshi's Cookie,NES,1993,Puzzle,Nintendo  ,Bullet Proof Software  ,,,0.41,0.06,0.63,0.02,1.12
74,PAC-MAN Championship Edition DX+ All You Can Eat Edition,PC,N/A,Puzzle,Unknown  ,Bandai Namco  ,,,,,,,
75,Lode Runner,NES,1987,Puzzle,Broderbund  ,Hudson Soft  ,,,,,1.1,0.0,1.1
76,"WarioWare, Inc.: Mega MicroGame$",GBA,2003,Puzzle,Nintendo  ,Nintendo R&D1  ,,,0.4,0.11,0.7,0.02,1.23
77,Bomberman 64,N64,1997,Puzzle,Hudson Soft  ,Hudson Soft  ,6.1,,0.5,0.2,0.31,0.03,1.04
78,Bomberman,NES,1989,Puzzle,Hudson Soft  ,Hudson Soft  ,,,0.18,,0.85,,1.03
79,Pong: The Next Level,PS,1999,Puzzle,Hasbro Interactive  ,Supersonic Software  ,,,0.56,0.38,,0.07,1.01
80,Angry Birds Trilogy,All,2012,Puzzle,Rovio Mobile  ,Rovio Mobile  ,,,,,,,
81,Catherine,Series,2011,Puzzle,Atlus  ,Atlus  ,,,,,,,
82,Catherine,All,2011,Puzzle,Atlus  ,Atlus  ,,,,,,,
83,Puyo Puyo Tetris,NS,2017,Puzzle,Sega  ,Sonic Team  ,8.3,,0.22,0.18,0.12,0.04,0.55
84,Scribblenauts,DS,2009,Puzzle,Warner Bros. Interactive  ,5TH Cell  ,8.2,,1.67,0.3,0.02,0.18,2.17
85,Puzzler Collection,DS,2008,Puzzle,Zoo Digital Publishing  ,Route 1 Games  ,,,0.16,0.78,,0.04,0.99
86,Tetris 2,NES,1993,Puzzle,Nintendo  ,Nintendo  ,,,0.62,0.13,0.21,0.02,0.98
87,The Talos Principle,PC,2014,Puzzle,Devolver Digital  ,Croteam  ,,,,,,,
88,TouchMaster 2,DS,2008,Puzzle,Midway Games  ,Midway Studios San Diego  ,,,0.3,0.49,,0.1,0.89
89,Super Bomberman R,NS,2017,Puzzle,Konami Digital Entertainment  ,HexaDrive  ,6.3,,0.31,0.32,0.19,0.06,0.87
90,Lemmings,PSP,2006,Puzzle,Sony Computer Entertainment  ,Team17 Software  ,7.3,,0.12,0.52,,0.23,0.86
91,Q*bert,PS,1999,Puzzle,Hasbro Interactive  ,Artech Digital Entertainment  ,,,0.46,0.32,,0.05,0.84
92,I Spy: Fun House,DS,2007,Puzzle,Scholastic Inc.  ,Big Blue Bubble Inc.  ,,,0.76,,,0.06,0.82
93,Clu Clu Land,NES,1985,Puzzle,Nintendo  ,Nintendo R&D1  ,,,0.42,0.1,0.28,0.02,0.82
94,Super Bomberman 2,SNES,1994,Puzzle,Hudson Soft  ,Produce!  ,,,,,0.81,0.0,0.81
95,Professor Layton and the Azran Legacy,3DS,2014,Puzzle,Nintendo  ,Level 5  ,8.0,,,0.53,0.25,0.03,0.81
96,The Next Tetris,PS,1999,Puzzle,Atari  ,Blue Planet Software  ,,,0.45,0.31,,0.05,0.81
97,Jr. Pac-Man,2600,1984,Puzzle,Atari  ,General Entertainment  ,,,0.72,0.05,,0.01,0.78
98,Puzzler World,DS,2009,Puzzle,Atari  ,Idea Pad  ,,,0.41,0.3,,0.07,0.77
99,Tetris Party Deluxe,DS,2010,Puzzle,Majesco  ,"Tetris Online, Inc  ",,,0.28,0.3,0.12,0.07,0.77
100,Drawn to Life: The Next Chapter,Wii,2009,Puzzle,THQ  ,Planet Moon Studios  ,5.8,,0.28,0.39,,0.08,0.75
101,WarioWare: Twisted!,GBA,2005,Puzzle,Nintendo  ,Intelligent Systems  ,,,0.16,0.06,0.5,0.02,0.74
102,Yoshi,GB,1992,Puzzle,Nintendo  ,Nintendo  ,,,,,0.73,,0.73
103,Katamari Damacy,PS2,2004,Puzzle,Namco  ,Namco  ,8.5,,0.47,0.02,0.17,0.08,0.73
104,Bendy and the Ink Machine,PC,2018,Puzzle,Joey Drew Studios Inc.  ,TheMeatly Games  ,,,,,,,
105,Super Monkey Ball Jr.,GBA,2002,Puzzle,THQ  ,Realism Ltd  ,,,0.51,0.19,,0.01,0.72
106,"WarioWare, Inc.: Mega Party Game$",GC,2004,Puzzle,Nintendo  ,Nintendo R&D1  ,,,0.2,0.05,0.44,0.02,0.71
107,Catherine,PS3,2011,Puzzle,Atlus  ,Atlus  ,7.9,,0.3,0.15,0.2,0.06,0.71
108,Super Bomberman 3,SNES,1995,Puzzle,Hudson Soft  ,Hudson Soft  ,,,,,0.7,0.0,0.7
109,SpaceChem,PC,2011,Puzzle,Unknown  ,Zachtronics Industries  ,9.0,,,,,,
110,TV Show King Party,Wii,2008,Puzzle,Ubisoft  ,Gameloft  ,,,0.18,0.4,,0.08,0.66
111,Angry Birds Trilogy,3DS,2012,Puzzle,Activision  ,Exient Entertainment  ,,,0.38,0.22,,0.06,0.65
112,Safecracker,All,1997,Puzzle,GT Interactive  ,Daydream Software  ,,,,,,,
113,Scribblenauts: Unlimited,3DS,2012,Puzzle,Warner Bros. Interactive Entertainment  ,5TH Cell  ,,,0.57,0.01,,0.07,0.64
114,Mario's Picross,GB,1995,Puzzle,Nintendo  ,Jupiter Multimedia  ,,,,,0.62,,0.62
115,Puyo Puyo Sun,SAT,1997,Puzzle,Compile  ,Compile  ,,,,,0.6,,0.6
116,BurgerTime,2600,1982,Puzzle,Mattel Interactive  ,Mattel  ,,,0.55,0.03,,0.01,0.59
117,Pokémon Trozei!,DS,2006,Puzzle,Nintendo  ,Genius Sonority Inc.  ,,,0.25,0.0,0.31,0.02,0.59
118,Q*bert,2600,1983,Puzzle,Parker Bros.  ,Gottlieb  ,,,0.55,0.03,,0.01,0.58
119,Super Bomberman,SNES,1993,Puzzle,Hudson Soft  ,Produce!  ,,,,,0.57,0.0,0.57
120,Ms. Pac-Man Maze Madness,GBA,2004,Puzzle,"Destination Software, Inc  ",Full-Fat  ,,,0.4,0.15,,0.01,0.56
121,Classic NES Series: Dr. Mario,GBA,2004,Puzzle,Nintendo  ,Nintendo  ,,,0.31,0.11,0.13,0.01,0.56
122,Tetris Party Deluxe,Wii,2010,Puzzle,Majesco  ,"Tetris Online, Inc  ",7.3,,0.33,0.16,0.02,0.05,0.56
123,Puzzle & Dragons Z + Super Mario Bros. Edition,3DS,2015,Puzzle,Nintendo  ,GungHo Online Entertainment  ,7.8,,0.09,0.11,0.35,0.02,0.56
124,Archer Maclean's Mercury,PSP,2005,Puzzle,Ignition Entertainment  ,Awesome Studios  ,7.7,,0.17,0.24,,0.15,0.56
125,Layton's Mystery Journey: Katrielle and the Millionaire's Conspiracy,3DS,2017,Puzzle,Level 5  ,Level 5  ,,,0.12,0.25,0.15,0.03,0.55
126,Lumines: Puzzle Fusion,PSP,2005,Puzzle,Ubisoft  ,Q Entertainment  ,9.1,,0.52,0.35,,0.23,1.11
