Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
61,Guitar Hero III: Legends of Rock,PS3,2007,Misc,RedOctane  ,Neversoft  ,8.2,8.0,1.4,0.53,0.02,0.3,2.25
62,Just Dance Kids,Wii,2010,Misc,Ubisoft  ,Ubisoft Paris  ,,,1.52,0.54,,0.19,2.25
63,Guitar Hero II,X360,2007,Misc,RedOctane  ,Harmonix Music Systems  ,9.2,,2.01,0.02,,0.17,2.21
64,Rock Band 2,X360,2008,Misc,MTV Games  ,Harmonix Music Systems  ,9.2,,1.78,0.24,,0.18,2.2
65,Kirby's Pinball Land,GB,1993,Misc,Nintendo  ,HAL Laboratory  ,,,0.87,0.17,1.1,0.05,2.19
66,Mario Party 5,GC,2003,Misc,Nintendo  ,Hudson Soft  ,5.9,,0.97,0.33,0.73,0.06,2.08
67,PlayStation VR Worlds,PS4,2016,Misc,Sony Interactive Entertainment  ,SIE London Studio  ,,,0.36,1.4,0.09,0.32,2.16
68,Banished,PC,2014,Misc,Falcom  ,Unknown  ,,,,,,,
69,Mahjong,NES,1983,Misc,Nintendo  ,Nintendo  ,,,0.01,,2.13,0.0,2.14
70,Rock Band,Wii,2008,Misc,MTV Games  ,Harmonix Music Systems  ,8.2,,1.33,0.56,,0.2,2.08
71,Mario Party 7,GC,2005,Misc,Nintendo  ,Hudson Soft  ,6.0,,0.95,0.11,0.46,0.04,1.57
72,Wipeout: The Game,Wii,2010,Misc,Activision  ,Endemol  ,,,1.94,,,0.14,2.08
73,Carnival Games,DS,2008,Misc,2K Play  ,Cat Daddy Games  ,,,1.22,0.63,,0.19,2.04
74,Rayman Raving Rabbids: TV Party,Wii,2008,Misc,Ubisoft  ,Ubisoft Paris  ,7.1,,0.72,1.08,,0.23,2.03
75,Just Dance 3,X360,2011,Misc,Ubisoft  ,Ubisoft Paris  ,5.5,,1.47,0.39,,0.16,2.02
76,Surgeon Simulator,PC,2013,Misc,Bossa Studios  ,Bossa Studios  ,,,,,,,
77,Destiny,X360,2014,Misc,Activision  ,Unknown  ,,,1.32,0.44,,0.19,1.94
78,Who Wants to be a Millionaire,PC,1999,Misc,Disney Interactive Studios  ,Jellyvision  ,,,1.94,0.0,,,1.94
79,Guitar Hero: World Tour,PS3,2008,Misc,Activision  ,Neversoft Entertainment  ,8.5,,1.1,0.55,,0.27,1.92
80,Mario Party 3,N64,2001,Misc,Nintendo  ,Hudson Soft  ,7.0,,0.72,0.16,1.01,0.02,1.91
81,Monopoly,Wii,2008,Misc,Electronic Arts  ,EA Bright Light  ,,,0.86,0.83,0.0,0.2,1.89
82,Toy Story Mania!,Wii,2009,Misc,Disney Interactive Studios  ,Papaya Studios  ,,,1.04,0.66,,0.19,1.89
83,Game Party 2,Wii,2008,Misc,Midway Games  ,FarSight Studios  ,,,1.28,0.44,,0.17,1.88
84,High School Musical: Sing It!,PS2,2007,Misc,Disney Interactive Studios  ,Artificial Mind and Movement  ,,,0.47,0.08,,1.33,1.87
85,SingStar,PS2,2004,Misc,Sony Computer Entertainment  ,SCEE London Studio  ,8.0,,,1.37,,0.49,1.86
86,Pinball,NES,1985,Misc,Nintendo  ,Nintendo  ,,,0.8,0.19,0.83,0.03,1.85
87,Rayman Raving Rabbids 2,Wii,2007,Misc,Ubisoft  ,Ubisoft Paris  ,6.6,,0.82,0.82,,0.2,1.84
88,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005,Misc,THQ  ,Sega  ,,,1.31,0.49,,0.03,1.83
89,Sonic Mega Collection Plus,PS2,2004,Misc,Sega  ,Sonic Team  ,,,1.54,1.14,,0.22,2.9
90,Risk of Rain,PC,2013,Misc,"Infocom, Inc.  ",Unknown  ,,,,,,,
91,Namco Museum,PS2,2001,Misc,Namco  ,Mass Media  ,,,1.73,0.07,,0.02,1.82
92,Guitar Hero: World Tour,PS2,2008,Misc,Activision  ,BudCat Creations  ,,,1.0,0.03,,0.77,1.8
93,Guitar Hero,PS2,2005,Misc,RedOctane  ,Harmonix Music Systems  ,8.0,,1.67,0.61,0.03,0.07,2.38
94,Namco Museum DS,DS,2007,Misc,Namco Bandai  ,M2  ,,,1.14,0.01,0.06,0.1,1.31
95,High School Musical: Sing It!,Wii,2007,Misc,Disney Interactive Studios  ,Artificial Mind and Movement  ,6.4,,1.15,0.45,,0.16,1.76
96,2 Games in 1: Disney Princess & The Lion King,GBA,2004,Misc,THQ  ,Various  ,,,1.25,0.46,,0.03,1.75
97,Deal or No Deal,DS,2007,Misc,"Destination Software, Inc  ",Global Star  ,,,1.16,0.4,,0.16,1.72
98,The Beatles: Rock Band,Wii,2009,Misc,MTV Games  ,Harmonix Music Systems  ,9.0,,1.17,0.39,,0.15,1.71
99,Jampack Winter '99,PS,1999,Misc,Sony Computer Entertainment  ,Sony Computer Entertainment America  ,,,0.94,0.64,,0.11,1.69
100,World Championship Poker: Featuring Howard Lederer - All In,PS2,2006,Misc,Crave Entertainment  ,Point of View  ,,,0.82,0.64,,0.22,1.68
101,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,2006,Misc,Nintendo  ,HAL Laboratory  ,,,,,1.71,,1.71
102,Disney Infinity,Wii,2013,Misc,Disney Interactive Studios  ,Unknown  ,,,1.06,0.44,,0.16,1.66
103,Sonic Mega Collection,GC,2002,Misc,Sega  ,Sonic Team  ,7.5,,1.47,0.48,0.05,0.06,2.05
104,Wii Play: Motion,Wii,2011,Misc,Nintendo  ,Nintendo EAD  ,5.2,,0.23,0.43,0.18,0.08,0.92
105,Mario Party 6,GC,2004,Misc,Nintendo  ,Hudson Soft  ,7.2,,0.9,0.11,0.6,0.05,1.65
106,Rock Band,PS3,2007,Misc,MTV Games  ,Harmonix Music Systems  ,9.1,,0.99,0.41,,0.22,1.62
107,Buzz! The Music Quiz,PS2,2005,Misc,Sony Computer Entertainment  ,Relentless Software  ,,,,1.18,,0.43,1.61
108,Kingdom Hearts HD I.5 ReMIX,PS3,2013,Misc,Square Enix  ,Square Enix  ,,,0.93,0.4,0.25,0.28,1.85
109,Jampack Summer 2K,PS,2000,Misc,Sony Computer Entertainment  ,Sony Computer Entertainment America  ,,,0.88,0.6,,0.1,1.58
110,Guitar Hero: On Tour Decades,DS,2008,Misc,Activision  ,Vicarious Visions  ,,,0.84,0.57,,0.16,1.57
111,Moshi Monsters: Moshling Zoo,DS,2011,Misc,Activision  ,Mind Candy  ,,,0.38,0.98,,0.21,1.57
112,High School Musical 3: Senior Year,DS,2008,Misc,Disney Interactive Studios  ,Griptonite Games  ,,,0.63,0.76,,0.18,1.57
113,AudioSurf,PC,2008,Misc,Invisible Handlebar   ,BestGameEver.com  ,8.2,9.0,,,,,
114,Guitar Hero 5,Wii,2009,Misc,Activision  ,Vicarious Visions  ,8.9,,0.92,0.48,,0.15,1.55
115,Practise English!,DS,2007,Misc,Nintendo  ,Plato  ,,,,,0.73,,0.73
116,Go Vacation,Wii,2011,Misc,Namco Bandai  ,Namco Bandai Games  ,7.0,,0.42,0.66,0.33,0.13,1.54
117,Disney Infinity,X360,2013,Misc,Disney Interactive Studios  ,Unknown  ,,,1.04,0.35,,0.15,1.53
118,Monopoly,PS,1997,Misc,Hasbro Interactive  ,Gremlin Interactive  ,,,1.18,0.27,,0.05,1.51
119,Goat Simulator,PC,2014,Misc,Coffee Stain Studios  ,Unknown  ,,,,,,,
120,Rock Band 2,PS3,2008,Misc,MTV Games  ,Harmonix Music Systems  ,8.9,,1.13,0.2,,0.16,1.5
121,Buzz! The BIG Quiz,PS2,2006,Misc,Sony Computer Entertainment  ,Relentless Software  ,,,,1.1,,0.39,1.49
122,Sonic's Ultimate Genesis Collection,X360,2009,Misc,Sega  ,Backbone Entertainment  ,8.1,,0.9,0.44,,0.14,1.48
123,Rogue Legacy,PC,2013,Misc,Cellar Door Games  ,Unknown  ,,,,,,,
124,Disney Sing It: Pop Hits,Wii,2009,Misc,Disney Interactive Studios  ,Zoe Mode  ,6.8,,1.07,0.28,,0.12,1.48
125,Minecraft,WiiU,2016,Misc,Mojang  ,4J Studios  ,5.5,,0.5,0.49,0.38,0.09,1.47
126,Midway Arcade Treasures,PS2,2003,Misc,Midway Games  ,Digital Eclipse  ,,,0.72,0.56,,0.19,1.46
127,4 Nin uchi Mahjong,NES,1984,Misc,Nintendo  ,Hudson Soft  ,,,,,1.45,0.0,1.45
128,Namco Museum 64,N64,1999,Misc,Namco  ,Mass Media  ,,,1.24,0.17,0.03,0.01,1.45
129,Sega Genesis Collection,PSP,2006,Misc,Sega  ,Sega  ,8.3,,0.53,0.58,,0.34,1.45
130,SingStar Pop,PS2,2007,Misc,Sony Computer Entertainment  ,SCEE London Studio  ,,,0.04,1.08,,0.32,1.44
131,My Word Coach,DS,2007,Misc,Ubisoft  ,Ubisoft Montreal  ,,,0.37,0.9,,0.18,1.44
132,Smarty Pants,Wii,2007,Misc,Electronic Arts  ,EA Los Angeles  ,6.5,,0.52,0.75,,0.16,1.43
133,Hasbro Family Game Night,Wii,2008,Misc,Electronic Arts  ,EA Bright Light  ,,,0.96,0.34,,0.13,1.43
134,Rayman Raving Rabbids,Wii,2006,Misc,Ubisoft  ,Ubisoft Montpellier  ,7.5,,1.22,0.07,0.02,0.11,1.42
135,Hello Kitty Party,DS,2009,Misc,Majesco  ,Barnstorm Games  ,,,0.78,0.51,,0.13,1.41
136,Spintires,PC,2014,Misc,Unknown  ,Unknown  ,,,,0.01,,0.0,0.01
137,A Collection of Activision Classic Games for the Atari 2600,PS,1998,Misc,Activision  ,"Livesay Technologies, Inc.  ",3.8,,0.76,0.52,,0.09,1.37
